Name,Keywords,Definiton,Alternate Names
Cerebrovascular Disease,"dysarthria,asthenia,speech slurred,facial paresis,hemiplegia,unresponsiveness,seizure,numbness","An vascular disease that is characterized by dysfunction of the blood vessels supplying the brain.Cerebrovascular Disease, also known as cerebrovascular disorders, is related to retinal vascular occlusion and peripheral artery disease, and has symptoms including seizures, tremor and angina pectoris.",accident cerebrovascular
acute kidney failure ,"hyperkalemia,hypotension,hypocalcemia result,oliguria,hemodynamically stable,asthenia,hypothermia, natural,diarrhea,haemorrhage,unresponsiveness,orthopnea,oliguria,slowing of urinary stream,extreme exhaustion,unresponsiveness,hypotension,enuresis,shortness of breath,haemorrhage,prostatism,no status change,bedridden,bedridden,fatigue","Acute Kidney Failure, also known as acute renal failure, is related to urinary tract obstruction and hepatorenal syndrome. An important gene associated with Acute Kidney Failure is MGAT3-AS1 (MGAT3 Antisense RNA 1), and among its related pathways/superpathways is Embryonic and Induced Pluripotent Stem Cell Differentiation Pathways and Lineage-specific Markers. The drugs Metformin and Pirfenidone have been mentioned in the context of this disorder. Affiliated tissues include Bone and Adipose, and related phenotypes are cardiovascular system and hematopoietic system",
adenocarcinoma,"mass of body structure,lesion,decreased body weight,constipation,fremitus,decreased stool caliber,satiety early,hematochezia,egophony,pain,cicatrisation,scar tissue,pain abdominal","A carcinoma that has material basis in abnormally proliferating cells, derives from epithelial cells, which originate in glandular tissue. Adenocarcinoma, also known as adenocarcinomas, is related to papillary adenocarcinoma and mucinous adenocarcinoma. An important gene associated with Adenocarcinoma is TP53 (Tumor Protein P53), and among its related pathways/superpathways are Signaling by GPCR and Apoptotic Pathways in Synovial Fibroblasts. The drugs Aluminum hydroxide and Iron isomaltoside 1000 have been mentioned in the context of this disorder. Affiliated tissues include lung, prostate and colon, and related phenotypes are Decreased viability and Decreased viability",
adhesion,"flatulence,pain,large-for-dates fetus,para 1,vomiting,lung nodule,breech presentation,shortness of breath,decreased body weight,immobile,unsteady gait,hallucinations visual,feeling suicidal","An adhesion is a band of scar tissue that joins two internal body surfaces that are not usually connected. Organs or tissues within the body stick (adhere) to other internal surfaces.Adhesions can affect the female reproductive organs (ovaries, fallopian tubes), the bowel, the area around the heart, the spine and the hand. They can cause a range of problems including infertility, dyspareunia (painful intercourse), pelvic pain and bowel obstruction or blockage. Adhesions can also lead to a complex set of problems called adhesion-related disorder (ARD).",
Alcohol Dependence,"tremor,hallucinations auditory,suicidal,hoard,irritable mood,feeling hopeless,feeling suicidal,neologism,seizure,homelessness,sleeplessness,unconscious state,panic,breath sounds decreased,shortness of breath","Alcohol dependence (AD) is a chronic but often disease that includes problems in controlling one's drinking, being preoccupied with alcohol, continuing to use alcohol even when it causes problems, having to drink more to get the same effect (physical dependence), or having withdrawal symptoms when one rapidly decreases or stops drinking. The contribution of genetic factors to the development of AD is high. The best classical candidate genes for AD are alcohol dehydrogenase (ADH) and aldehyde dehydrogenase (ALDH). Both genes are involved in enzymatic degradation of alcohol. Recent genome-wide association studies (GWAS) have reported that the most robust associations for AD have been with such enzyme genes, especially ALDH2 in East Asian populations and ADH1B in European American and African American populations.",chronic alcoholic intoxication
Alzheimer's disease,"drool,agitation,nightmare,rhonchus,consciousness clear,pin-point pupils,bedridden,bedridden,frail,tremor resting,hyperkalemia,facial paresis,groggy,muscle twitch,wheelchair bound,tremor,cough,fever","Alzheimer disease is a degenerative disease of the brain that causes dementia, which is a gradual loss of memory, judgment, and ability to function.Memory loss is the most common sign of Alzheimer disease. Forgetfulness may be subtle at first, but the loss of memory worsens over time until it interferes with most aspects of daily living. Alzheimer disease is a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. Affiliated tissues include brain and kidney, and related phenotypes are agnosia and seizures",
anemia,"chill,guaiac positive,monoclonal,ecchymosis,tumor cell invasion,haemorrhage,pallor,asthenia,fatigue,heme positive,pain back,orthostasis,hyponatremia,dizziness,shortness of breath,pain,rhonchus,arthralgia,swelling,transaminitis","your blood does not carry enough oxygen to the rest of your body. The most common cause of anemia is not having enough iron.Anemia can make you feel tired, cold, dizzy, and irritable. You may be short of breath or have a headache.Deficiency Anemia, also known as anemia, is related to iron-refractory iron deficiency anemia and folic acid deficiency anemia, and has symptoms including angina pectoris, edema and chest pain. An important gene associated with Deficiency Anemia is TTR (Transthyretin), and among its related pathways/superpathways are Insulin receptor recycling and JAK-STAT signaling pathway (KEGG). The drugs Warfarin and Furosemide have been mentioned in the context of this disorder. Affiliated tissues include kidney, bone and bone marrow, and related phenotypes are Reduced mammosphere formation and homeostasis/metabolism A hematopoietic system disease that is characterized by a decrease in the normal number of red blood cells.",
anxiety ,"worry,feeling suicidal,suicidal,sleeplessness,feeling hopeless,irritable mood,tremor,blackout,weepiness,has religious belief,nervousness,hallucinations visual,formication,difficulty,pain chest,patient non compliance,agitation,palpitation,hallucinations auditory,mood depressed,hot flush,pain,consciousness clear,nightmare","Human personality is shaped by genetic and environmental factors, and evidence suggests that the genetic component is highly complex, polygenic, and epistatic.which manifests at one extreme as anxiety, depression, moodiness, low self-esteem, and diffidence","anxiety state,paranoia"
Aortic valve stenosis,"hallucinations auditory,hallucinations visual,agitation,irritable mood,verbal auditory hallucinations,feeling suicidal,suicidal,terrify,neologism,homelessness,energy increased,mood depressed,decompensation,cicatrisation,scar tissue,blackout,loose associations","a condition characterized by narrowing of the heart's aortic valve opening. This narrowing prevents the valve from opening fully, which obstructs blood flow from the heart into the aorta, and onward to the rest of the body. AVS can range from mild to severe.may include chest pain (angina) or tightness; shortness of breath or fatigue (especially during exertion); feeling faint or fainting; heart palpitations; and heart murmur",
aphasia,"clonus,egophony,facial paresis,aphagia,muscle twitch,paralyse,low back pain,charleyhorse","Aphasia is a neurological disorder caused by damage to the portions of the brain that are responsible for language production or processing. It may occur suddenly or progressively, depending on the type and location of brain tissue involved. Primary signs of the disorder include difficulty in expressing oneself when speaking, trouble understanding speech, and difficulty with reading and writing.",
arthritis,"pain,hemodynamically stable,sleeplessness,asthenia,syncope,swelling,atypia,general unsteadiness,shortness of breath,distended abdomen","feel pain and stiffness in your body or have trouble moving around, you might have arthritis. Most kinds of arthritis cause pain and swelling in your joints. Joints are places where two bones meet, such as your elbow or knee. cause problems in your organs, such as your eyes or skin. cause problems in your organs, such as your eyes or skin.",
